Focal_region,In_or_out,movement,total
"King County, Washington","Muskegon County, Michigan",MOVEDOUT,5
"King County, Washington","Oakland County, Michigan",MOVEDIN,261
"King County, Washington","Oakland County, Michigan",MOVEDOUT,63
"King County, Washington","Oscoda County, Michigan",MOVEDIN,0
"King County, Washington","Oscoda County, Michigan",MOVEDOUT,9
"King County, Washington","Ottawa County, Michigan",MOVEDIN,38
"King County, Washington","Ottawa County, Michigan",MOVEDOUT,0
"King County, Washington","Saginaw County, Michigan",MOVEDIN,25
"King County, Washington","Saginaw County, Michigan",MOVEDOUT,0
"King County, Washington","Washtenaw County, Michigan",MOVEDIN,409
"King County, Washington","Washtenaw County, Michigan",MOVEDOUT,116
"King County, Washington","Wayne County, Michigan",MOVEDIN,186
"King County, Washington","Wayne County, Michigan",MOVEDOUT,80
"King County, Washington","Anoka County, Minnesota",MOVEDIN,60
"King County, Washington","Anoka County, Minnesota",MOVEDOUT,9
"King County, Washington","Beltrami County, Minnesota",MOVEDIN,9
"King County, Washington","Beltrami County, Minnesota",MOVEDOUT,0
"King County, Washington","Benton County, Minnesota",MOVEDIN,16
"King County, Washington","Benton County, Minnesota",MOVEDOUT,0
"King County, Washington","Blue Earth County, Minnesota",MOVEDIN,34
"King County, Washington","Blue Earth County, Minnesota",MOVEDOUT,0
"King County, Washington","Carlton County, Minnesota",MOVEDIN,0
"King County, Washington","Carlton County, Minnesota",MOVEDOUT,25
"King County, Washington","Carver County, Minnesota",MOVEDIN,34
"King County, Washington","Carver County, Minnesota",MOVEDOUT,0
"King County, Washington","Chisago County, Minnesota",MOVEDIN,0
"King County, Washington","Chisago County, Minnesota",MOVEDOUT,14
"King County, Washington","Clay County, Minnesota",MOVEDIN,15
"King County, Washington","Clay County, Minnesota",MOVEDOUT,0
"King County, Washington","Crow Wing County, Minnesota",MOVEDIN,17
"King County, Washington","Crow Wing County, Minnesota",MOVEDOUT,3
"King County, Washington","Dakota County, Minnesota",MOVEDIN,80
"King County, Washington","Dakota County, Minnesota",MOVEDOUT,96
"King County, Washington","Freeborn County, Minnesota",MOVEDIN,8
"King County, Washington","Freeborn County, Minnesota",MOVEDOUT,4
"King County, Washington","Hennepin County, Minnesota",MOVEDIN,756
"King County, Washington","Hennepin County, Minnesota",MOVEDOUT,455
"King County, Washington","Isanti County, Minnesota",MOVEDIN,0
"King County, Washington","Isanti County, Minnesota",MOVEDOUT,12
"King County, Washington","Le Sueur County, Minnesota",MOVEDIN,0
"King County, Washington","Le Sueur County, Minnesota",MOVEDOUT,5
"King County, Washington","McLeod County, Minnesota",MOVEDIN,0
"King County, Washington","McLeod County, Minnesota",MOVEDOUT,10
"King County, Washington","Morrison County, Minnesota",MOVEDIN,14
"King County, Washington","Morrison County, Minnesota",MOVEDOUT,0
"King County, Washington","Nicollet County, Minnesota",MOVEDIN,0
"King County, Washington","Nicollet County, Minnesota",MOVEDOUT,17
"King County, Washington","Olmsted County, Minnesota",MOVEDIN,0
"King County, Washington","Olmsted County, Minnesota",MOVEDOUT,36
"King County, Washington","Ramsey County, Minnesota",MOVEDIN,250
"King County, Washington","Ramsey County, Minnesota",MOVEDOUT,109
"King County, Washington","Rice County, Minnesota",MOVEDIN,36
"King County, Washington","Rice County, Minnesota",MOVEDOUT,74
"King County, Washington","St. Louis County, Minnesota",MOVEDIN,0
"King County, Washington","St. Louis County, Minnesota",MOVEDOUT,18
"King County, Washington","Scott County, Minnesota",MOVEDIN,158
"King County, Washington","Scott County, Minnesota",MOVEDOUT,13
"King County, Washington","Stearns County, Minnesota",MOVEDIN,19
"King County, Washington","Stearns County, Minnesota",MOVEDOUT,0
"King County, Washington","Steele County, Minnesota",MOVEDIN,0
"King County, Washington","Steele County, Minnesota",MOVEDOUT,8
"King County, Washington","Wadena County, Minnesota",MOVEDIN,0
"King County, Washington","Wadena County, Minnesota",MOVEDOUT,2
"King County, Washington","Washington County, Minnesota",MOVEDIN,55
"King County, Washington","Washington County, Minnesota",MOVEDOUT,24
"King County, Washington","Wright County, Minnesota",MOVEDIN,0
"King County, Washington","Wright County, Minnesota",MOVEDOUT,24
"King County, Washington","DeSoto County, Mississippi",MOVEDIN,16
"King County, Washington","DeSoto County, Mississippi",MOVEDOUT,0
"King County, Washington","Harrison County, Mississippi",MOVEDIN,20
"King County, Washington","Harrison County, Mississippi",MOVEDOUT,66
"King County, Washington","Hinds County, Mississippi",MOVEDIN,0
"King County, Washington","Hinds County, Mississippi",MOVEDOUT,16
"King County, Washington","Lafayette County, Mississippi",MOVEDIN,19
"King County, Washington","Lafayette County, Mississippi",MOVEDOUT,0
"King County, Washington","Lamar County, Mississippi",MOVEDIN,0
"King County, Washington","Lamar County, Mississippi",MOVEDOUT,8
"King County, Washington","Lauderdale County, Mississippi",MOVEDIN,16
"King County, Washington","Lauderdale County, Mississippi",MOVEDOUT,0
"King County, Washington","Rankin County, Mississippi",MOVEDIN,2
"King County, Washington","Rankin County, Mississippi",MOVEDOUT,0
"King County, Washington","Sharkey County, Mississippi",MOVEDIN,82
"King County, Washington","Sharkey County, Mississippi",MOVEDOUT,0
"King County, Washington","Webster County, Mississippi",MOVEDIN,0
"King County, Washington","Webster County, Mississippi",MOVEDOUT,37
"King County, Washington","Boone County, Missouri",MOVEDIN,70
"King County, Washington","Boone County, Missouri",MOVEDOUT,0
"King County, Washington","Callaway County, Missouri",MOVEDIN,11
"King County, Washington","Callaway County, Missouri",MOVEDOUT,0
"King County, Washington","Cape Girardeau County, Missouri",MOVEDIN,38
"King County, Washington","Cape Girardeau County, Missouri",MOVEDOUT,23
"King County, Washington","Christian County, Missouri",MOVEDIN,13
"King County, Washington","Christian County, Missouri",MOVEDOUT,0
"King County, Washington","Clay County, Missouri",MOVEDIN,0
"King County, Washington","Clay County, Missouri",MOVEDOUT,56
"King County, Washington","Cooper County, Missouri",MOVEDIN,0
"King County, Washington","Cooper County, Missouri",MOVEDOUT,14
"King County, Washington","Greene County, Missouri",MOVEDIN,57
"King County, Washington","Greene County, Missouri",MOVEDOUT,162
"King County, Washington","Howard County, Missouri",MOVEDIN,0
"King County, Washington","Howard County, Missouri",MOVEDOUT,1
"King County, Washington","Jackson County, Missouri",MOVEDIN,103
"King County, Washington","Jackson County, Missouri",MOVEDOUT,177
"King County, Washington","Jasper County, Missouri",MOVEDIN,0
"King County, Washington","Jasper County, Missouri",MOVEDOUT,24
"King County, Washington","Miller County, Missouri",MOVEDIN,39
"King County, Washington","Miller County, Missouri",MOVEDOUT,0
"King County, Washington","Newton County, Missouri",MOVEDIN,28
"King County, Washington","Newton County, Missouri",MOVEDOUT,0
"King County, Washington","Phelps County, Missouri",MOVEDIN,11
"King County, Washington","Phelps County, Missouri",MOVEDOUT,0
"King County, Washington","Platte County, Missouri",MOVEDIN,0
"King County, Washington","Platte County, Missouri",MOVEDOUT,6
"King County, Washington","Pulaski County, Missouri",MOVEDIN,51
"King County, Washington","Pulaski County, Missouri",MOVEDOUT,0
"King County, Washington","St. Charles County, Missouri",MOVEDIN,65
"King County, Washington","St. Charles County, Missouri",MOVEDOUT,28
"King County, Washington","St. Clair County, Missouri",MOVEDIN,0
"King County, Washington","St. Clair County, Missouri",MOVEDOUT,4
"King County, Washington","St. Louis County, Missouri",MOVEDIN,260
"King County, Washington","St. Louis County, Missouri",MOVEDOUT,196
"King County, Washington","Taney County, Missouri",MOVEDIN,16
"King County, Washington","Taney County, Missouri",MOVEDOUT,12
"King County, Washington","Webster County, Missouri",MOVEDIN,0
"King County, Washington","Webster County, Missouri",MOVEDOUT,2
"King County, Washington","St. Louis city, Missouri",MOVEDIN,84
"King County, Washington","St. Louis city, Missouri",MOVEDOUT,54
"King County, Washington","Beaverhead County, Montana",MOVEDIN,0
"King County, Washington","Beaverhead County, Montana",MOVEDOUT,2
"King County, Washington","Blaine County, Montana",MOVEDIN,0
"King County, Washington","Blaine County, Montana",MOVEDOUT,26
"King County, Washington","Cascade County, Montana",MOVEDIN,80
"King County, Washington","Cascade County, Montana",MOVEDOUT,12
"King County, Washington","Chouteau County, Montana",MOVEDIN,0
"King County, Washington","Chouteau County, Montana",MOVEDOUT,7
"King County, Washington","Flathead County, Montana",MOVEDIN,39
"King County, Washington","Flathead County, Montana",MOVEDOUT,137
"King County, Washington","Gallatin County, Montana",MOVEDIN,204
"King County, Washington","Gallatin County, Montana",MOVEDOUT,237
"King County, Washington","Glacier County, Montana",MOVEDIN,11
"King County, Washington","Glacier County, Montana",MOVEDOUT,8
"King County, Washington","Granite County, Montana",MOVEDIN,0
"King County, Washington","Granite County, Montana",MOVEDOUT,4
"King County, Washington","Hill County, Montana",MOVEDIN,15
"King County, Washington","Hill County, Montana",MOVEDOUT,4
"King County, Washington","Lake County, Montana",MOVEDIN,0
"King County, Washington","Lake County, Montana",MOVEDOUT,18
"King County, Washington","Lewis and Clark County, Montana",MOVEDIN,10
"King County, Washington","Lewis and Clark County, Montana",MOVEDOUT,16
"King County, Washington","Mineral County, Montana",MOVEDIN,0
"King County, Washington","Mineral County, Montana",MOVEDOUT,17
"King County, Washington","Missoula County, Montana",MOVEDIN,186
"King County, Washington","Missoula County, Montana",MOVEDOUT,204
"King County, Washington","Park County, Montana",MOVEDIN,16
"King County, Washington","Park County, Montana",MOVEDOUT,13
"King County, Washington","Ravalli County, Montana",MOVEDIN,17
"King County, Washington","Ravalli County, Montana",MOVEDOUT,0
"King County, Washington","Roosevelt County, Montana",MOVEDIN,0
"King County, Washington","Roosevelt County, Montana",MOVEDOUT,8
"King County, Washington","Sanders County, Montana",MOVEDIN,0
"King County, Washington","Sanders County, Montana",MOVEDOUT,26
"King County, Washington","Sheridan County, Montana",MOVEDIN,76
"King County, Washington","Sheridan County, Montana",MOVEDOUT,1
"King County, Washington","Silver Bow County, Montana",MOVEDIN,15
"King County, Washington","Silver Bow County, Montana",MOVEDOUT,0
"King County, Washington","Toole County, Montana",MOVEDIN,0
"King County, Washington","Toole County, Montana",MOVEDOUT,2
"King County, Washington","Yellowstone County, Montana",MOVEDIN,245
"King County, Washington","Yellowstone County, Montana",MOVEDOUT,147
"King County, Washington","Boyd County, Nebraska",MOVEDIN,0
"King County, Washington","Boyd County, Nebraska",MOVEDOUT,1
"King County, Washington","Butler County, Nebraska",MOVEDIN,0
"King County, Washington","Butler County, Nebraska",MOVEDOUT,5
"King County, Washington","Douglas County, Nebraska",MOVEDIN,166
"King County, Washington","Douglas County, Nebraska",MOVEDOUT,37
"King County, Washington","Hall County, Nebraska",MOVEDIN,0
"King County, Washington","Hall County, Nebraska",MOVEDOUT,11
"King County, Washington","Lancaster County, Nebraska",MOVEDIN,21
"King County, Washington","Lancaster County, Nebraska",MOVEDOUT,35
"King County, Washington","Polk County, Nebraska",MOVEDIN,0
"King County, Washington","Polk County, Nebraska",MOVEDOUT,7
"King County, Washington","Sarpy County, Nebraska",MOVEDIN,53
"King County, Washington","Sarpy County, Nebraska",MOVEDOUT,0
"King County, Washington","Scotts Bluff County, Nebraska",MOVEDIN,0
"King County, Washington","Scotts Bluff County, Nebraska",MOVEDOUT,6
"King County, Washington","Seward County, Nebraska",MOVEDIN,0
"King County, Washington","Seward County, Nebraska",MOVEDOUT,7
"King County, Washington","York County, Nebraska",MOVEDIN,0
"King County, Washington","York County, Nebraska",MOVEDOUT,12
"King County, Washington","Clark County, Nevada",MOVEDIN,716
"King County, Washington","Clark County, Nevada",MOVEDOUT,1017
"King County, Washington","Elko County, Nevada",MOVEDIN,5
"King County, Washington","Elko County, Nevada",MOVEDOUT,0
"King County, Washington","Nye County, Nevada",MOVEDIN,0
"King County, Washington","Nye County, Nevada",MOVEDOUT,89
"King County, Washington","Storey County, Nevada",MOVEDIN,8
"King County, Washington","Storey County, Nevada",MOVEDOUT,20
"King County, Washington","Washoe County, Nevada",MOVEDIN,357
"King County, Washington","Washoe County, Nevada",MOVEDOUT,440
"King County, Washington","Carson City, Nevada",MOVEDIN,19
"King County, Washington","Carson City, Nevada",MOVEDOUT,17
"King County, Washington","Belknap County, New Hampshire",MOVEDIN,50
"King County, Washington","Belknap County, New Hampshire",MOVEDOUT,0
"King County, Washington","Cheshire County, New Hampshire",MOVEDIN,14
"King County, Washington","Cheshire County, New Hampshire",MOVEDOUT,0
"King County, Washington","Grafton County, New Hampshire",MOVEDIN,30
"King County, Washington","Grafton County, New Hampshire",MOVEDOUT,15
"King County, Washington","Hillsborough County, New Hampshire",MOVEDIN,24
"King County, Washington","Hillsborough County, New Hampshire",MOVEDOUT,21
"King County, Washington","Rockingham County, New Hampshire",MOVEDIN,88
"King County, Washington","Rockingham County, New Hampshire",MOVEDOUT,28
"King County, Washington","Strafford County, New Hampshire",MOVEDIN,24
"King County, Washington","Strafford County, New Hampshire",MOVEDOUT,0
"King County, Washington","Atlantic County, New Jersey",MOVEDIN,0
"King County, Washington","Atlantic County, New Jersey",MOVEDOUT,17
"King County, Washington","Bergen County, New Jersey",MOVEDIN,153
"King County, Washington","Bergen County, New Jersey",MOVEDOUT,94
"King County, Washington","Burlington County, New Jersey",MOVEDIN,49
"King County, Washington","Burlington County, New Jersey",MOVEDOUT,10
"King County, Washington","Camden County, New Jersey",MOVEDIN,114
"King County, Washington","Camden County, New Jersey",MOVEDOUT,0
"King County, Washington","Cape May County, New Jersey",MOVEDIN,39
"King County, Washington","Cape May County, New Jersey",MOVEDOUT,7
"King County, Washington","Essex County, New Jersey",MOVEDIN,141
"King County, Washington","Essex County, New Jersey",MOVEDOUT,16
"King County, Washington","Hudson County, New Jersey",MOVEDIN,529
"King County, Washington","Hudson County, New Jersey",MOVEDOUT,122
"King County, Washington","Mercer County, New Jersey",MOVEDIN,122
"King County, Washington","Mercer County, New Jersey",MOVEDOUT,21
"King County, Washington","Middlesex County, New Jersey",MOVEDIN,243
"King County, Washington","Middlesex County, New Jersey",MOVEDOUT,54
"King County, Washington","Monmouth County, New Jersey",MOVEDIN,61
"King County, Washington","Monmouth County, New Jersey",MOVEDOUT,60
"King County, Washington","Morris County, New Jersey",MOVEDIN,47
"King County, Washington","Morris County, New Jersey",MOVEDOUT,51
"King County, Washington","Passaic County, New Jersey",MOVEDIN,80
"King County, Washington","Passaic County, New Jersey",MOVEDOUT,0
"King County, Washington","Somerset County, New Jersey",MOVEDIN,70
"King County, Washington","Somerset County, New Jersey",MOVEDOUT,0
"King County, Washington","Sussex County, New Jersey",MOVEDIN,17
"King County, Washington","Sussex County, New Jersey",MOVEDOUT,0
"King County, Washington","Union County, New Jersey",MOVEDIN,69
"King County, Washington","Union County, New Jersey",MOVEDOUT,0
"King County, Washington","Bernalillo County, New Mexico",MOVEDIN,144
"King County, Washington","Bernalillo County, New Mexico",MOVEDOUT,205
"King County, Washington","Chaves County, New Mexico",MOVEDIN,0
"King County, Washington","Chaves County, New Mexico",MOVEDOUT,68
"King County, Washington","Cibola County, New Mexico",MOVEDIN,21
"King County, Washington","Cibola County, New Mexico",MOVEDOUT,0
"King County, Washington","Los Alamos County, New Mexico",MOVEDIN,0
"King County, Washington","Los Alamos County, New Mexico",MOVEDOUT,8
"King County, Washington","Rio Arriba County, New Mexico",MOVEDIN,58
"King County, Washington","Rio Arriba County, New Mexico",MOVEDOUT,0
"King County, Washington","Sandoval County, New Mexico",MOVEDIN,113
"King County, Washington","Sandoval County, New Mexico",MOVEDOUT,48
"King County, Washington","Santa Fe County, New Mexico",MOVEDIN,37
"King County, Washington","Santa Fe County, New Mexico",MOVEDOUT,63
"King County, Washington","Sierra County, New Mexico",MOVEDIN,10
"King County, Washington","Sierra County, New Mexico",MOVEDOUT,0
"King County, Washington","Socorro County, New Mexico",MOVEDIN,133
"King County, Washington","Socorro County, New Mexico",MOVEDOUT,0
"King County, Washington","Valencia County, New Mexico",MOVEDIN,0
"King County, Washington","Valencia County, New Mexico",MOVEDOUT,8
"King County, Washington","Albany County, New York",MOVEDIN,0
"King County, Washington","Albany County, New York",MOVEDOUT,41
"King County, Washington","Allegany County, New York",MOVEDIN,0
"King County, Washington","Allegany County, New York",MOVEDOUT,45
"King County, Washington","Bronx County, New York",MOVEDIN,44
"King County, Washington","Bronx County, New York",MOVEDOUT,0
"King County, Washington","Cayuga County, New York",MOVEDIN,0
"King County, Washington","Cayuga County, New York",MOVEDOUT,7
"King County, Washington","Chautauqua County, New York",MOVEDIN,0
"King County, Washington","Chautauqua County, New York",MOVEDOUT,10
"King County, Washington","Chenango County, New York",MOVEDIN,0
"King County, Washington","Chenango County, New York",MOVEDOUT,8
"King County, Washington","Delaware County, New York",MOVEDIN,14
"King County, Washington","Delaware County, New York",MOVEDOUT,0
"King County, Washington","Dutchess County, New York",MOVEDIN,27
"King County, Washington","Dutchess County, New York",MOVEDOUT,0
"King County, Washington","Erie County, New York",MOVEDIN,109
"King County, Washington","Erie County, New York",MOVEDOUT,73
"King County, Washington","Essex County, New York",MOVEDIN,31
"King County, Washington","Essex County, New York",MOVEDOUT,3
"King County, Washington","Herkimer County, New York",MOVEDIN,0
"King County, Washington","Herkimer County, New York",MOVEDOUT,3
"King County, Washington","Jefferson County, New York",MOVEDIN,23
"King County, Washington","Jefferson County, New York",MOVEDOUT,29
"King County, Washington","Kings County, New York",MOVEDIN,1227
"King County, Washington","Kings County, New York",MOVEDOUT,314
"King County, Washington","Livingston County, New York",MOVEDIN,0
"King County, Washington","Livingston County, New York",MOVEDOUT,60
"King County, Washington","Madison County, New York",MOVEDIN,0
"King County, Washington","Madison County, New York",MOVEDOUT,10
"King County, Washington","Monroe County, New York",MOVEDIN,49
"King County, Washington","Monroe County, New York",MOVEDOUT,102
"King County, Washington","Nassau County, New York",MOVEDIN,30
"King County, Washington","Nassau County, New York",MOVEDOUT,87
"King County, Washington","New York County, New York",MOVEDIN,477
"King County, Washington","New York County, New York",MOVEDOUT,1455
"King County, Washington","Niagara County, New York",MOVEDIN,20
"King County, Washington","Niagara County, New York",MOVEDOUT,0
"King County, Washington","Oneida County, New York",MOVEDIN,21
"King County, Washington","Oneida County, New York",MOVEDOUT,17
"King County, Washington","Onondaga County, New York",MOVEDIN,70
"King County, Washington","Onondaga County, New York",MOVEDOUT,5
"King County, Washington","Ontario County, New York",MOVEDIN,74
"King County, Washington","Ontario County, New York",MOVEDOUT,22
"King County, Washington","Orange County, New York",MOVEDIN,15
"King County, Washington","Orange County, New York",MOVEDOUT,10
"King County, Washington","Putnam County, New York",MOVEDIN,16
"King County, Washington","Putnam County, New York",MOVEDOUT,0
"King County, Washington","Queens County, New York",MOVEDIN,232
"King County, Washington","Queens County, New York",MOVEDOUT,111
"King County, Washington","Rensselaer County, New York",MOVEDIN,18
"King County, Washington","Rensselaer County, New York",MOVEDOUT,2
"King County, Washington","Richmond County, New York",MOVEDIN,20
"King County, Washington","Richmond County, New York",MOVEDOUT,0
"King County, Washington","Rockland County, New York",MOVEDIN,7
"King County, Washington","Rockland County, New York",MOVEDOUT,0
"King County, Washington","St. Lawrence County, New York",MOVEDIN,0
"King County, Washington","St. Lawrence County, New York",MOVEDOUT,17
"King County, Washington","Saratoga County, New York",MOVEDIN,17
"King County, Washington","Saratoga County, New York",MOVEDOUT,57
"King County, Washington","Schenectady County, New York",MOVEDIN,14
"King County, Washington","Schenectady County, New York",MOVEDOUT,15
"King County, Washington","Steuben County, New York",MOVEDIN,0
"King County, Washington","Steuben County, New York",MOVEDOUT,18
"King County, Washington","Suffolk County, New York",MOVEDIN,113
"King County, Washington","Suffolk County, New York",MOVEDOUT,51
"King County, Washington","Tompkins County, New York",MOVEDIN,86
"King County, Washington","Tompkins County, New York",MOVEDOUT,24
"King County, Washington","Washington County, New York",MOVEDIN,0
"King County, Washington","Washington County, New York",MOVEDOUT,16
"King County, Washington","Westchester County, New York",MOVEDIN,75
"King County, Washington","Westchester County, New York",MOVEDOUT,118
"King County, Washington","Buncombe County, North Carolina",MOVEDIN,83
"King County, Washington","Buncombe County, North Carolina",MOVEDOUT,74
"King County, Washington","Burke County, North Carolina",MOVEDIN,0
"King County, Washington","Burke County, North Carolina",MOVEDOUT,6
"King County, Washington","Cabarrus County, North Carolina",MOVEDIN,148
"King County, Washington","Cabarrus County, North Carolina",MOVEDOUT,0
"King County, Washington","Carteret County, North Carolina",MOVEDIN,42
"King County, Washington","Carteret County, North Carolina",MOVEDOUT,11
"King County, Washington","Cherokee County, North Carolina",MOVEDIN,29
"King County, Washington","Cherokee County, North Carolina",MOVEDOUT,0
"King County, Washington","Chowan County, North Carolina",MOVEDIN,0
"King County, Washington","Chowan County, North Carolina",MOVEDOUT,11
"King County, Washington","Cumberland County, North Carolina",MOVEDIN,35
"King County, Washington","Cumberland County, North Carolina",MOVEDOUT,104
"King County, Washington","Durham County, North Carolina",MOVEDIN,375
"King County, Washington","Durham County, North Carolina",MOVEDOUT,48
"King County, Washington","Forsyth County, North Carolina",MOVEDIN,8
"King County, Washington","Forsyth County, North Carolina",MOVEDOUT,49
"King County, Washington","Granville County, North Carolina",MOVEDIN,83
"King County, Washington","Granville County, North Carolina",MOVEDOUT,0
"King County, Washington","Guilford County, North Carolina",MOVEDIN,32
"King County, Washington","Guilford County, North Carolina",MOVEDOUT,47
"King County, Washington","Henderson County, North Carolina",MOVEDIN,14
"King County, Washington","Henderson County, North Carolina",MOVEDOUT,0
"King County, Washington","Iredell County, North Carolina",MOVEDIN,49
"King County, Washington","Iredell County, North Carolina",MOVEDOUT,0
"King County, Washington","Lee County, North Carolina",MOVEDIN,0
"King County, Washington","Lee County, North Carolina",MOVEDOUT,9
"King County, Washington","Mecklenburg County, North Carolina",MOVEDIN,109
"King County, Washington","Mecklenburg County, North Carolina",MOVEDOUT,137
"King County, Washington","Moore County, North Carolina",MOVEDIN,19
"King County, Washington","Moore County, North Carolina",MOVEDOUT,0
"King County, Washington","Nash County, North Carolina",MOVEDIN,18
"King County, Washington","Nash County, North Carolina",MOVEDOUT,0
"King County, Washington","New Hanover County, North Carolina",MOVEDIN,65
"King County, Washington","New Hanover County, North Carolina",MOVEDOUT,10
"King County, Washington","Orange County, North Carolina",MOVEDIN,60
"King County, Washington","Orange County, North Carolina",MOVEDOUT,91
"King County, Washington","Pender County, North Carolina",MOVEDIN,0
"King County, Washington","Pender County, North Carolina",MOVEDOUT,52
"King County, Washington","Pitt County, North Carolina",MOVEDIN,3
"King County, Washington","Pitt County, North Carolina",MOVEDOUT,0
"King County, Washington","Rowan County, North Carolina",MOVEDIN,0
"King County, Washington","Rowan County, North Carolina",MOVEDOUT,13
"King County, Washington","Sampson County, North Carolina",MOVEDIN,0
"King County, Washington","Sampson County, North Carolina",MOVEDOUT,27
"King County, Washington","Swain County, North Carolina",MOVEDIN,9
"King County, Washington","Swain County, North Carolina",MOVEDOUT,0
"King County, Washington","Union County, North Carolina",MOVEDIN,0
"King County, Washington","Union County, North Carolina",MOVEDOUT,9
"King County, Washington","Wake County, North Carolina",MOVEDIN,172
"King County, Washington","Wake County, North Carolina",MOVEDOUT,213
"King County, Washington","Watauga County, North Carolina",MOVEDIN,9
"King County, Washington","Watauga County, North Carolina",MOVEDOUT,0
"King County, Washington","Wayne County, North Carolina",MOVEDIN,0
"King County, Washington","Wayne County, North Carolina",MOVEDOUT,3
"King County, Washington","Burke County, North Dakota",MOVEDIN,0
"King County, Washington","Burke County, North Dakota",MOVEDOUT,16
"King County, Washington","Burleigh County, North Dakota",MOVEDIN,33
"King County, Washington","Burleigh County, North Dakota",MOVEDOUT,98
"King County, Washington","Cass County, North Dakota",MOVEDIN,135
"King County, Washington","Cass County, North Dakota",MOVEDOUT,0
"King County, Washington","Dunn County, North Dakota",MOVEDIN,0
"King County, Washington","Dunn County, North Dakota",MOVEDOUT,2
"King County, Washington","Grand Forks County, North Dakota",MOVEDIN,0
"King County, Washington","Grand Forks County, North Dakota",MOVEDOUT,49
"King County, Washington","McKenzie County, North Dakota",MOVEDIN,12
"King County, Washington","McKenzie County, North Dakota",MOVEDOUT,0
"King County, Washington","McLean County, North Dakota",MOVEDIN,0
"King County, Washington","McLean County, North Dakota",MOVEDOUT,4
"King County, Washington","Richland County, North Dakota",MOVEDIN,8
"King County, Washington","Richland County, North Dakota",MOVEDOUT,0
"King County, Washington","Ward County, North Dakota",MOVEDIN,12
"King County, Washington","Ward County, North Dakota",MOVEDOUT,17
"King County, Washington","Williams County, North Dakota",MOVEDIN,19
"King County, Washington","Williams County, North Dakota",MOVEDOUT,0
"King County, Washington","Allen County, Ohio",MOVEDIN,0
"King County, Washington","Allen County, Ohio",MOVEDOUT,7
"King County, Washington","Belmont County, Ohio",MOVEDIN,0
"King County, Washington","Belmont County, Ohio",MOVEDOUT,12
"King County, Washington","Butler County, Ohio",MOVEDIN,152
"King County, Washington","Butler County, Ohio",MOVEDOUT,30
"King County, Washington","Clark County, Ohio",MOVEDIN,0
"King County, Washington","Clark County, Ohio",MOVEDOUT,17
"King County, Washington","Clermont County, Ohio",MOVEDIN,28
"King County, Washington","Clermont County, Ohio",MOVEDOUT,0
"King County, Washington","Columbiana County, Ohio",MOVEDIN,48
"King County, Washington","Columbiana County, Ohio",MOVEDOUT,0
"King County, Washington","Cuyahoga County, Ohio",MOVEDIN,240
"King County, Washington","Cuyahoga County, Ohio",MOVEDOUT,64
"King County, Washington","Delaware County, Ohio",MOVEDIN,0
"King County, Washington","Delaware County, Ohio",MOVEDOUT,6
"King County, Washington","Erie County, Ohio",MOVEDIN,26
"King County, Washington","Erie County, Ohio",MOVEDOUT,0
"King County, Washington","Fairfield County, Ohio",MOVEDIN,0
"King County, Washington","Fairfield County, Ohio",MOVEDOUT,26
"King County, Washington","Franklin County, Ohio",MOVEDIN,385
"King County, Washington","Franklin County, Ohio",MOVEDOUT,554
"King County, Washington","Geauga County, Ohio",MOVEDIN,0
"King County, Washington","Geauga County, Ohio",MOVEDOUT,49
"King County, Washington","Greene County, Ohio",MOVEDIN,6
"King County, Washington","Greene County, Ohio",MOVEDOUT,33
"King County, Washington","Hamilton County, Ohio",MOVEDIN,184
"King County, Washington","Hamilton County, Ohio",MOVEDOUT,58
"King County, Washington","Henry County, Ohio",MOVEDIN,0
"King County, Washington","Henry County, Ohio",MOVEDOUT,2
"King County, Washington","Jefferson County, Ohio",MOVEDIN,0
"King County, Washington","Jefferson County, Ohio",MOVEDOUT,42
"King County, Washington","Knox County, Ohio",MOVEDIN,0
"King County, Washington","Knox County, Ohio",MOVEDOUT,11
"King County, Washington","Licking County, Ohio",MOVEDIN,12
"King County, Washington","Licking County, Ohio",MOVEDOUT,24
"King County, Washington","Lorain County, Ohio",MOVEDIN,0
"King County, Washington","Lorain County, Ohio",MOVEDOUT,98
"King County, Washington","Lucas County, Ohio",MOVEDIN,0
"King County, Washington","Lucas County, Ohio",MOVEDOUT,38
"King County, Washington","Mahoning County, Ohio",MOVEDIN,0
"King County, Washington","Mahoning County, Ohio",MOVEDOUT,16
"King County, Washington","Montgomery County, Ohio",MOVEDIN,74
"King County, Washington","Montgomery County, Ohio",MOVEDOUT,123
"King County, Washington","Portage County, Ohio",MOVEDIN,0
"King County, Washington","Portage County, Ohio",MOVEDOUT,8
"King County, Washington","Richland County, Ohio",MOVEDIN,13
"King County, Washington","Richland County, Ohio",MOVEDOUT,5
"King County, Washington","Scioto County, Ohio",MOVEDIN,0
"King County, Washington","Scioto County, Ohio",MOVEDOUT,21
"King County, Washington","Shelby County, Ohio",MOVEDIN,0
"King County, Washington","Shelby County, Ohio",MOVEDOUT,44
"King County, Washington","Stark County, Ohio",MOVEDIN,8
"King County, Washington","Stark County, Ohio",MOVEDOUT,11
"King County, Washington","Summit County, Ohio",MOVEDIN,0
"King County, Washington","Summit County, Ohio",MOVEDOUT,67
"King County, Washington","Warren County, Ohio",MOVEDIN,23
"King County, Washington","Warren County, Ohio",MOVEDOUT,48
"King County, Washington","Wayne County, Ohio",MOVEDIN,50
