Focal_region,In_or_out,movement,total
"King County, Washington","Pima County, Arizona",MOVEDIN,657
"King County, Washington","Pima County, Arizona",MOVEDOUT,755
"King County, Washington","Pinal County, Arizona",MOVEDIN,43
"King County, Washington","Pinal County, Arizona",MOVEDOUT,31
"King County, Washington","Yavapai County, Arizona",MOVEDIN,104
"King County, Washington","Yavapai County, Arizona",MOVEDOUT,195
"King County, Washington","Yuma County, Arizona",MOVEDIN,43
"King County, Washington","Yuma County, Arizona",MOVEDOUT,107
"King County, Washington","Benton County, Arkansas",MOVEDIN,0
"King County, Washington","Benton County, Arkansas",MOVEDOUT,37
"King County, Washington","Cleburne County, Arkansas",MOVEDIN,99
"King County, Washington","Cleburne County, Arkansas",MOVEDOUT,0
"King County, Washington","Conway County, Arkansas",MOVEDIN,12
"King County, Washington","Conway County, Arkansas",MOVEDOUT,0
"King County, Washington","Craighead County, Arkansas",MOVEDIN,15
"King County, Washington","Craighead County, Arkansas",MOVEDOUT,0
"King County, Washington","Faulkner County, Arkansas",MOVEDIN,0
"King County, Washington","Faulkner County, Arkansas",MOVEDOUT,21
"King County, Washington","Garland County, Arkansas",MOVEDIN,0
"King County, Washington","Garland County, Arkansas",MOVEDOUT,12
"King County, Washington","Independence County, Arkansas",MOVEDIN,11
"King County, Washington","Independence County, Arkansas",MOVEDOUT,0
"King County, Washington","Little River County, Arkansas",MOVEDIN,12
"King County, Washington","Little River County, Arkansas",MOVEDOUT,0
"King County, Washington","Pope County, Arkansas",MOVEDIN,60
"King County, Washington","Pope County, Arkansas",MOVEDOUT,0
"King County, Washington","Pulaski County, Arkansas",MOVEDIN,101
"King County, Washington","Pulaski County, Arkansas",MOVEDOUT,0
"King County, Washington","Sebastian County, Arkansas",MOVEDIN,12
"King County, Washington","Sebastian County, Arkansas",MOVEDOUT,0
"King County, Washington","Washington County, Arkansas",MOVEDIN,0
"King County, Washington","Washington County, Arkansas",MOVEDOUT,18
"King County, Washington","Alameda County, California",MOVEDIN,1413
"King County, Washington","Alameda County, California",MOVEDOUT,944
"King County, Washington","Amador County, California",MOVEDIN,12
"King County, Washington","Amador County, California",MOVEDOUT,28
"King County, Washington","Butte County, California",MOVEDIN,0
"King County, Washington","Butte County, California",MOVEDOUT,74
"King County, Washington","Calaveras County, California",MOVEDIN,0
"King County, Washington","Calaveras County, California",MOVEDOUT,19
"King County, Washington","Contra Costa County, California",MOVEDIN,509
"King County, Washington","Contra Costa County, California",MOVEDOUT,454
"King County, Washington","El Dorado County, California",MOVEDIN,45
"King County, Washington","El Dorado County, California",MOVEDOUT,3
"King County, Washington","Fresno County, California",MOVEDIN,236
"King County, Washington","Fresno County, California",MOVEDOUT,131
